id;activity_name;activity_time;duration;venue;details;created_by;created_date;last_modified_by;last_modified_date
1;brr;2024-08-25T07:31:56;31976;cooked parachute and;../fake-data/blob/hipster.txt;whenever;2024-08-24T20:07:44;boo playfully;2024-08-24T20:01:40
2;fooey numeracy;2024-08-25T00:11:40;18549;brr whenever;../fake-data/blob/hipster.txt;dapper pro and;2024-08-24T14:31:50;after because onto;2024-08-24T18:13:07
3;whether;2024-08-24T16:00:18;23368;tread;../fake-data/blob/hipster.txt;winged conditioner;2024-08-24T21:31:38;recklessly whoever mantle;2024-08-24T21:22:24
4;more round appropriate;2024-08-24T23:05:51;19230;early;../fake-data/blob/hipster.txt;blah nab chainstay;2024-08-24T09:08:06;dwarf crooked record;2024-08-25T00:11:33
5;fair neighboring pleasure;2024-08-24T22:47:55;8349;sheath;../fake-data/blob/hipster.txt;spurt;2024-08-24T22:23:25;a blog;2024-08-24T12:23:41
6;huzzah via distend;2024-08-24T18:49:41;25689;inasmuch except target;../fake-data/blob/hipster.txt;joyously;2024-08-25T08:01:31;ew;2024-08-25T03:34:18
7;afterthought around colonization;2024-08-25T07:14:39;32094;fooey but;../fake-data/blob/hipster.txt;until among before;2024-08-25T08:08:47;surplus;2024-08-24T13:52:51
8;grubby;2024-08-24T21:10:53;22761;curry however fetter;../fake-data/blob/hipster.txt;ruddy wildly veranda;2024-08-25T08:36:30;unlucky;2024-08-25T05:03:32
9;forenenst;2024-08-24T17:50:40;17483;now gosh;../fake-data/blob/hipster.txt;drug;2024-08-25T07:13:35;barring;2024-08-24T16:43:56
10;afterwards stew;2024-08-25T02:47:19;28762;microwave roughly;../fake-data/blob/hipster.txt;well-groomed since;2024-08-24T20:22:43;adorable sail;2024-08-25T00:06:58
